Fecha_Hora,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2022-09-02 11:00:00,12,23.0,1.0,40.0,1.0,-9999.0,1.0,15.8454,1.0,21.099,1.0,36.9444,1.0,-9999.0,1.0,-9999.0,1.0,0.9915,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-09-02 12:00:00,12,29.0,1.0,56.0,1.0,-9999.0,1.0,13.641,1.0,23.0907,1.0,36.7318,1.0,-9999.0,1.0,-9999.0,1.0,0.7173,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-09-02 13:00:00,12,25.0,1.0,49.0,1.0,-9999.0,1.0,18.5584,1.0,27.0113,1.0,45.5697,1.0,-9999.0,1.0,-9999.0,1.0,0.934085,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-09-02 14:00:00,12,25.0,1.0,44.0,1.0,-9999.0,1.0,20.9778,1.0,20.4925,1.0,41.4703,1.0,-9999.0,1.0,-9999.0,1.0,0.733951,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-09-02 15:00:00,12,28.0,1.0,49.0,1.0,-9999.0,1.0,19.3323,1.0,18.1929,1.0,37.5252,1.0,-9999.0,1.0,-9999.0,1.0,0.747129,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-09-02 16:00:00,12,21.0,1.0,55.0,1.0,-9999.0,1.0,24.4969,1.0,24.1928,1.0,48.6897,1.0,-9999.0,1.0,-9999.0,1.0,1.08905,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-09-02 17:00:00,12,35.0,1.0,75.0,1.0,-9999.0,1.0,44.3055,2.3,27.2536,1.0,71.5591,1.0,-9999.0,1.0,-9999.0,1.0,1.36881,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-09-02 18:00:00,12,22.0,1.0,35.0,1.0,-9999.0,1.0,44.6278,1.0,26.0693,1.0,70.697,1.0,-9999.0,1.0,-9999.0,1.0,1.12948,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-09-02 19:00:00,12,22.0,1.0,44.0,1.0,-9999.0,1.0,31.7352,1.0,24.5391,1.0,56.2743,1.0,-9999.0,1.0,-9999.0,1.0,1.02253,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-09-02 20:00:00,12,33.0,1.0,56.0,1.0,-9999.0,1.0,59.6599,2.3,21.6028,1.0,81.2627,1.0,-9999.0,1.0,-9999.0,1.0,1.3036,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-09-02 21:00:00,12,39.0,1.0,51.0,1.0,-9999.0,1.0,30.0064,1.0,17.2449,1.0,47.2513,1.0,-9999.0,1.0,-9999.0,1.0,0.632847,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-09-02 22:00:00,12,39.0,1.0,54.0,1.0,-9999.0,1.0,32.2367,1.0,16.8586,1.0,49.0952,1.0,-9999.0,1.0,-9999.0,1.0,0.81565,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-09-02 23:00:00,12,27.0,1.0,38.0,1.0,-9999.0,1.0,33.7901,1.0,16.4359,1.0,50.226,1.0,-9999.0,1.0,-9999.0,1.0,0.957683,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-09-03 00:00:00,12,24.0,1.0,42.0,1.0,-9999.0,1.0,21.5417,1.0,14.7297,1.0,36.2714,1.0,-9999.0,1.0,-9999.0,1.0,1.74351,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-09-03 01:00:00,12,23.0,1.0,32.0,1.0,-9999.0,1.0,5.8327,1.0,13.7166,1.0,19.5493,1.0,-9999.0,1.0,-9999.0,1.0,0.897187,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
